date,start_value,end_value,daily_pnl,daily_return_pct,trades_executed,positions_open,drawdown_pct
2024-07-15,84757.98278599943,84616.9644169994,-141.01836900002672,-0.16637768427792332,956,1,15.394846783784821
2024-07-16,84616.9644169994,84404.29681399943,-212.6676029999653,-0.25132974748647535,965,1,15.599239930029213
2024-07-17,84404.29681399943,84303.04676299945,-101.25005099998089,-0.11995840830604182,976,0,15.704134189098095
2024-07-18,84303.04676299945,84142.59572899945,-160.4510339999979,-0.19032649490245912,987,0,15.85757748322584
2024-07-19,84142.59572899945,84022.90198399947,-119.6937449999823,-0.14225107267368298,996,0,15.977270981829575
2024-07-21,84022.90198399947,84022.90198399947,0.0,0.0,996,0,15.977270981829575
2024-07-22,84022.90198399947,83931.42114799948,-91.4808359999879,-0.10887607287999722,1006,0,16.068751629511162
2024-07-23,83931.42114799948,83804.83863499945,-126.5825130000303,-0.15081659677467216,1013,1,16.195771881032393
2024-07-24,83804.83863499945,83643.8442079995,-160.99442699995416,-0.1921063623797946,1022,0,16.376359458281964
2024-07-25,83643.8442079995,83582.6268199995,-61.217388000004576,-0.07318815697635032,1029,1,16.451769169046564
2024-07-26,83582.6268199995,83421.36256399952,-161.26425599998038,-0.19293992320589926,1038,0,16.578809163527094
2024-07-28,83421.36256399952,83421.36256399952,0.0,0.0,1038,0,16.578809163527094
2024-07-29,83421.36256399952,83255.72872699947,-165.63383700004488,-0.1985508650412816,1050,0,16.744442659560647
2024-07-30,83255.72872699947,83102.07001999946,-153.6587070000096,-0.1845623230370918,1057,1,16.90002704628087
2024-07-31,83102.07001999946,82898.54516299946,-203.5248569999967,-0.2449094913652766,1067,0,17.101625488278373
2024-08-01,82898.54516299946,82819.29762799949,-79.24753499997314,-0.09559580912325118,1075,1,17.184010853683134
2024-08-02,82819.29762799949,82731.21831499944,-88.07931300005293,-0.10635119534058346,1083,0,17.28677031114666
2024-08-04,82731.21831499944,82722.12762799943,-9.090687000003527,-0.010988218456291434,1083,1,17.293891627487003
2024-08-05,82722.12762799943,82641.93148099947,-80.196146999966,-0.09694642691083487,1089,1,17.376274604896675
2024-08-06,82641.93148099947,82591.32299299951,-50.60848799995438,-0.061238268628305205,1095,0,17.435223592546613
2024-08-07,82591.32299299951,82450.50706999947,-140.8159230000456,-0.17049723614668483,1105,0,17.557717135386333
2024-08-08,82450.50706999947,82247.65822999949,-202.84883999997692,-0.24602497571999254,1113,1,17.75785107039862
2024-08-09,82247.65822999949,82123.18652299953,-124.47170699996059,-0.1513376911618379,1120,1,17.88741051069269
2024-08-11,82123.18652299953,82126.26752299952,3.080999999991036,0.0037516810177941244,1120,1,17.890104505146944
2024-08-12,82126.26752299952,81989.2117309995,-137.0557920000283,-0.16688423342951236,1128,0,18.010957048364766
2024-08-13,81989.2117309995,81880.9231579995,-108.288572999998,-0.1320766119270481,1135,1,18.142534350504995
2024-08-14,81880.9231579995,81712.1655109995,-168.75764699999127,-0.2061012999015073,1144,0,18.288002698049663
2024-08-15,81712.1655109995,81609.15667999952,-103.00883099998464,-0.1260630291166599,1151,1,18.392169314616414
2024-08-16,81609.15667999952,81512.63056399953,-96.52611599999364,-0.11827853629033996,1156,0,18.487537234295825
2024-08-18,81512.63056399953,81498.99944599954,-13.631117999990238,-0.016722706537225275,1156,1,18.503742318936684
2024-08-19,81498.99944599954,81411.17786599958,-87.8215799999598,-0.10775786279210647,1163,1,18.591437718410397
2024-08-20,81411.17786599958,81211.50910099958,-199.6687649999949,-0.24525964398727146,1172,1,18.797772058658772
2024-08-21,81211.50910099958,81125.19921499956,-86.30988600001729,-0.10627789946949151,1178,1,18.878711778039513
2024-08-22,81125.19921499956,81040.24227199958,-84.95694299998286,-0.10472324730424186,1186,0,18.97087574331445
2024-08-23,81040.24227199958,80872.38337099961,-167.8589009999705,-0.20713030501140034,1196,0,19.11890972157758
2024-08-25,80872.38337099961,80862.31440799961,-10.068962999997893,-0.012450434351374103,1196,1,19.140114046927216
2024-08-26,80862.31440799961,80718.71590399959,-143.59850400002324,-0.1775839648559666,1206,1,19.29585623032261
2024-08-27,80718.71590399959,80592.78669199956,-125.92921200003184,-0.1560099297786179,1214,1,19.412311202593095
2024-08-28,80592.78669199956,80487.33938599958,-105.44730599997274,-0.13083963258766493,1222,1,19.512181303004468
2024-08-29,80487.33938599958,80351.39947399961,-135.93991199997254,-0.16889601897266676,1230,0,19.660124393454705
2024-08-30,80351.39947399961,80260.46797699961,-90.93149699999776,-0.11316728469604527,1235,1,19.74841302970725
2024-09-01,80260.46797699961,80236.55659399962,-23.91138299999875,-0.02979222972740587,1237,0,19.76360857742631
2024-09-02,80236.55659399962,80146.1340799996,-90.42251400001987,-0.11269490845371348,1243,0,19.865020116664585
